,inference_time,p_tar,nr_branch_edge,nr_branch_model
103,0.1424591541290283,0.85,3.0,5.0
104,0.1483616828918457,0.9,3.0,5.0
105,0.184495210647583,0.7,4.0,5.0
106,0.1804182529449463,0.8,4.0,5.0
107,0.1641631126403808,0.85,4.0,5.0
108,0.1724765300750732,0.9,4.0,5.0
109,0.0539886951446533,0.7,5.0,5.0
110,0.0534722805023193,0.8,5.0,5.0
111,0.051196813583374,0.85,5.0,5.0
112,0.0451831817626953,0.9,5.0,5.0
113,0.1354763507843017,0.7,2.0,5.0
114,0.1597049236297607,0.8,2.0,5.0
115,0.1343235969543457,0.85,2.0,5.0
116,0.136599063873291,0.9,2.0,5.0
117,0.103947639465332,0.7,3.0,5.0
118,0.1208584308624267,0.8,3.0,5.0
119,0.1080482006072998,0.85,3.0,5.0
120,0.1141741275787353,0.9,3.0,5.0
121,0.0972769260406494,0.7,4.0,5.0
122,0.1560964584350586,0.8,4.0,5.0
123,0.1493704319000244,0.85,4.0,5.0
124,0.1251912117004394,0.9,4.0,5.0
125,0.0818438529968261,0.7,5.0,5.0
126,0.0752778053283691,0.8,5.0,5.0
127,0.0975677967071533,0.85,5.0,5.0
128,0.0940525531768798,0.9,5.0,5.0
129,0.2881813049316406,0.7,2.0,5.0
130,0.3726832866668701,0.8,2.0,5.0
131,0.2831368446350097,0.85,2.0,5.0
132,0.2725770473480224,0.9,2.0,5.0
133,0.2028641700744629,0.7,3.0,5.0
134,0.1976051330566406,0.8,3.0,5.0
135,0.2020986080169677,0.85,3.0,5.0
136,0.2081189155578613,0.9,3.0,5.0
137,0.2718503475189209,0.7,4.0,5.0
138,0.2461616992950439,0.8,4.0,5.0
139,0.2366573810577392,0.85,4.0,5.0
140,0.2565681934356689,0.9,4.0,5.0
141,0.155069351196289,0.7,5.0,5.0
142,0.1580417156219482,0.8,5.0,5.0
143,0.1726858615875244,0.85,5.0,5.0
144,0.1952965259552002,0.9,5.0,5.0
145,0.1740751266479492,0.7,2.0,5.0
146,0.1609320640563964,0.8,2.0,5.0
147,0.1308217048645019,0.85,2.0,5.0
148,0.1503193378448486,0.9,2.0,5.0
149,0.1036860942840576,0.7,3.0,5.0
150,0.0985701084136962,0.8,3.0,5.0
151,0.1043324470520019,0.85,3.0,5.0
152,0.1116845607757568,0.9,3.0,5.0
153,0.1478557586669922,0.7,4.0,5.0
154,0.1392221450805664,0.8,4.0,5.0
155,0.1423335075378418,0.85,4.0,5.0
156,0.1457729339599609,0.9,4.0,5.0
157,0.0380160808563232,0.7,5.0,5.0
158,0.0405511856079101,0.8,5.0,5.0
159,0.0370216369628906,0.85,5.0,5.0
160,0.0354642868041992,0.9,5.0,5.0
161,0.2528047561645508,0.7,2.0,5.0
162,0.2763431072235107,0.8,2.0,5.0
163,0.2626094818115234,0.85,2.0,5.0
164,0.2490499019622802,0.9,2.0,5.0
165,0.163569688796997,0.7,3.0,5.0
166,0.1621558666229248,0.8,3.0,5.0
167,0.1708612442016601,0.85,3.0,5.0
168,0.1769018173217773,0.9,3.0,5.0
169,0.2343673706054687,0.7,4.0,5.0
170,0.2266771793365478,0.8,4.0,5.0
171,0.206329345703125,0.85,4.0,5.0
172,0.2139875888824463,0.9,4.0,5.0
173,0.1279058456420898,0.7,5.0,5.0
174,0.1243963241577148,0.8,5.0,5.0
175,0.1521744728088379,0.85,5.0,5.0
176,0.1397271156311035,0.9,5.0,5.0
177,0.2503163814544678,0.7,2.0,5.0
178,0.248521089553833,0.8,2.0,5.0
179,0.2436730861663818,0.85,2.0,5.0
180,0.2478330135345459,0.9,2.0,5.0
181,0.1601860523223877,0.7,3.0,5.0
182,0.1798901557922363,0.8,3.0,5.0
183,0.1638655662536621,0.85,3.0,5.0
184,0.1601197719573974,0.9,3.0,5.0
185,0.2032907009124755,0.7,4.0,5.0
186,0.2062044143676757,0.8,4.0,5.0
187,0.2175538539886474,0.85,4.0,5.0
188,0.1884083747863769,0.9,4.0,5.0
189,0.1319029331207275,0.7,5.0,5.0
190,0.1253197193145752,0.8,5.0,5.0
